item_id:token,movie_title:token_seq,release_year:token,genre:token_seq
41,Toy Story,1995,Animation Children's Comedy
574,Jumanji,1995,Adventure Children's Fantasy
1334,Grumpier Old Men,1995,Comedy Romance
451,Waiting to Exhale,1995,Comedy Drama
1335,Father of the Bride Part II,1995,Comedy
256,Heat,1995,Action Crime Thriller
577,Sabrina,1995,Comedy Romance
2161,Tom and Huck,1995,Adventure Children's
2141,Sudden Death,1995,Action
844,GoldenEye,1995,Action Adventure Thriller
1257,"American President, The",1995,Comedy Drama Romance
2257,Dracula: Dead and Loving It,1995,Comedy Horror
1684,Balto,1995,Animation Children's
491,Nixon,1995,Drama
1849,Cutthroat Island,1995,Action Adventure Romance
329,Casino,1995,Drama Thriller
418,Sense and Sensibility,1995,Drama Romance
1956,Four Rooms,1995,Thriller
1850,Ace Ventura: When Nature Calls,1995,Comedy
2420,Money Train,1995,Action
146,Get Shorty,1995,Action Comedy Drama
1965,Copycat,1995,Crime Drama Thriller
1882,Assassins,1995,Thriller
360,Powder,1995,Drama Sci-Fi
505,Leaving Las Vegas,1995,Drama Romance
1066,Othello,1995,Drama
2816,Now and Then,1995,Drama
1523,Persuasion,1995,Romance
365,"City of Lost Children, The",1995,Adventure Sci-Fi
977,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Drama
2735,Dangerous Minds,1995,Drama
377,Twelve Monkeys,1995,Drama Sci-Fi
382,Babe,1995,Children's Comedy Drama
1774,Carrington,1995,Drama Romance
384,Dead Man Walking,1995,Drama
3147,Across the Sea of Time,1995,Documentary
1376,It Takes Two,1995,Comedy
222,Clueless,1995,Comedy Romance
2155,"Cry, the Beloved Country",1995,Drama
240,Richard III,1995,Drama War
442,Dead Presidents,1995,Action Crime Drama
2157,Restoration,1995,Drama
1079,Mortal Kombat,1995,Action Adventure
1277,To Die For,1995,Comedy Drama
1687,How to Make an American Quilt,1995,Drama Romance
243,Seven (Se7en),1995,Crime Thriller
26,Pocahontas,1995,Animation Children's Musical Romance
3058,When Night Is Falling,1995,Drama Romance
260,"Usual Suspects, The",1995,Crime Thriller
261,Mighty Aphrodite,1995,Comedy
3350,Lamerica,1994,Drama
1866,"Big Green, The",1995,Children's Comedy
1978,Georgia,1995,Drama
3138,Kids of the Round Table,1995,Adventure Children's Fantasy
2761,Home for the Holidays,1995,Drama
454,"Postino, Il (The Postman)",1994,Drama Romance
3273,"Confessional, The (Le Confessionnal)",1995,Drama Mystery
853,"Indian in the Cupboard, The",1995,Adventure Children's Fantasy
3160,Eye for an Eye,1996,Drama Thriller
705,Mr. Holland's Opus,1995,Drama
2260,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy
1405,Two if by Sea,1996,Comedy Romance
1220,Bio-Dome,1996,Comedy
1720,Lawnmower Man 2: Beyond Cyberspace,1996,Sci-Fi Thriller
2592,French Twist (Gazon maudit),1995,Comedy Romance
2231,Friday,1995,Comedy
910,From Dusk Till Dawn,1996,Action Comedy Crime Horror Thriller
2314,Fair Game,1995,Action
2221,Kicking and Screaming,1995,Comedy Drama
479,"Mis̩rables, Les",1995,Drama Musical
1415,Bed of Roses,1996,Drama Romance
3050,Big Bully,1996,Comedy Drama
997,Screamers,1995,Sci-Fi Thriller
2912,Nico Icon,1995,Documentary
2121,"Crossing Guard, The",1995,Drama
2122,"Juror, The",1996,Drama Thriller
2807,"White Balloon, The (Badkonake Sefid )",1995,Drama
1225,Things to Do in Denver when You're Dead,1995,Crime Drama Romance
2123,Antonia's Line (Antonia),1995,Drama
2624,Once Upon a Time... When We Were Colored,1995,Drama
2222,Last Summer in the Hamptons,1995,Comedy Drama
822,Angels and Insects,1995,Drama Romance
1098,White Squall,1996,Adventure Drama
2199,Dunston Checks In,1996,Children's Comedy
823,Black Sheep,1996,Comedy
1877,Nick of Time,1995,Action Thriller
3352,"Journey of August King, The",1995,Drama
1689,Mary Reilly,1996,Drama Thriller
1889,Vampire in Brooklyn,1995,Comedy Romance
1435,Beautiful Girls,1996,Drama
131,Broken Arrow,1996,Action Thriller
3076,In the Bleak Midwinter,1995,Comedy
2486,"Hate (Haine, La)",1995,Drama
2648,Shopping,1994,Action Thriller
2722,Heidi Fleiss: Hollywood Madam,1995,Documentary
1925,City Hall,1996,Drama Thriller
2410,Bottle Rocket,1996,Comedy
2863,Mr. Wrong,1996,Comedy
3157,Unforgettable,1996,Thriller
180,Happy Gilmore,1996,Comedy
482,"Bridges of Madison County, The",1995,Drama Romance
3088,Nobody Loves Me (Keiner liebt mich),1994,Comedy Drama
1738,Muppet Treasure Island,1996,Adventure Children's Comedy Musical
3318,Catwalk,1995,Documentary
93,Braveheart,1995,Action Drama War
487,Taxi Driver,1976,Drama Thriller
1227,Rumble in the Bronx,1995,Action Adventure Crime
2051,Before and After,1996,Drama Mystery
3172,Margaret's Museum,1995,Drama
753,Anne Frank Remembered,1995,Documentary
2470,"Young Poisoner's Handbook, The",1995,Crime
1428,If Lucy Fell,1996,Comedy Romance
2864,"Steal Big, Steal Little",1995,Comedy
3141,"Boys of St. Vincent, The",1993,Drama
1436,Boomerang,1992,Comedy Romance
1647,Chungking Express,1994,Drama Mystery Romance
3063,"Star Maker, The (Uomo delle stelle, L')",1995,Drama
1290,Flirting With Disaster,1996,Comedy
1931,"NeverEnding Story III, The",1994,Adventure Children's Fantasy
2909,Jupiter's Wife,1994,Documentary
2489,Pie in the Sky,1995,Comedy Romance
2865,Frankie Starlight,1995,Drama Romance
2095,Jade,1995,Thriller
1444,Down Periscope,1996,Comedy
3216,From the Journals of Jean Seberg,1995,Documentary
2777,Man of the Year,1995,Documentary
1748,Up Close and Personal,1996,Drama Romance
872,"Birdcage, The",1996,Comedy
1460,"Brothers McMullen, The",1995,Comedy
1174,Bad Boys,1995,Action
2193,"Amazing Panda Adventure, The",1995,Adventure Children's
2474,"Basketball Diaries, The",1995,Drama
1936,"Awfully Big Adventure, An",1995,Drama
2844,Amateur,1994,Crime Drama Thriller
40,Apollo 13,1995,Drama
449,Rob Roy,1995,Drama Romance War
2638,"Addiction, The",1995,Horror
576,Batman Forever,1995,Action Adventure Comedy Crime
1533,Belle de jour,1967,Drama
1610,Beyond Rangoon,1995,Drama War
2216,Blue in the Face,1995,Comedy
1316,Canadian Bacon,1994,Comedy War
1026,Casper,1995,Adventure Children's
1875,Clockers,1995,Drama
879,Congo,1995,Action Adventure Mystery Sci-Fi
462,Crimson Tide,1995,Drama Thriller War
277,Crumb,1994,Documentary
145,Desperado,1995,Action Romance Thriller
956,Devil in a Blue Dress,1995,Crime Film-Noir Mystery Thriller
147,Die Hard: With a Vengeance,1995,Action Thriller
2135,"Doom Generation, The",1995,Comedy Drama
3228,Feast of July,1995,Drama
1037,First Knight,1995,Action Adventure Drama Romance
2195,Free Willy 2: The Adventure Home,1995,Adventure Children's Drama
1842,Hackers,1995,Action Crime Thriller
2433,Jeffrey,1995,Comedy
1656,Johnny Mnemonic,1995,Action Sci-Fi Thriller
1185,Judge Dredd,1995,Action Adventure Sci-Fi
2827,Jury Duty,1995,Comedy
1303,Kids,1995,Drama
299,Living in Oblivion,1995,Comedy
1944,Lord of Illusions,1995,Horror
1657,Love & Human Remains,1993,Comedy
2588,Mad Love,1995,Drama Romance
619,Mallrats,1995,Comedy
2196,Mighty Morphin Power Rangers: The Movie,1995,Action Children's
2105,Moonlight and Valentino,1995,Drama Romance
2710,Mute Witness,1994,Thriller
1950,Nadja,1994,Drama
1191,"Net, The",1995,Sci-Fi Thriller
622,Nine Months,1995,Comedy
1253,Party Girl,1995,Comedy
1952,"Prophecy, The",1995,Horror
3315,Reckless,1995,Comedy
1954,Safe,1995,Thriller
2828,"Scarlet Letter, The",1995,Drama
1955,Showgirls,1995,Drama
331,Smoke,1995,Drama
1355,Something to Talk About,1995,Comedy Drama Romance
1260,Species,1995,Horror Sci-Fi
3348,"Stars Fell on Henrietta, The",1995,Drama
971,Strange Days,1995,Action Crime Sci-Fi
422,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,Drama Musical
3164,"Tie That Binds, The",1995,Thriller
2669,Three Wishes,1995,Drama
371,Total Eclipse,1995,Drama Romance
775,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy
2288,Under Siege 2: Dark Territory,1995,Action
1804,Unstrung Heroes,1995,Comedy Drama
2511,Unzipped,1995,Documentary
1443,"Walk in the Clouds, A",1995,Drama Romance
777,Waterworld,1995,Action Adventure
2607,White Man's Burden,1995,Drama
2934,Wild Bill,1995,Western
2473,"Browning Version, The",1994,Drama
3137,Bushwhacked,1995,Comedy
2510,Burnt By the Sun (Utomlyonnye solntsem),1994,Drama
2621,Before the Rain (Pred dozhdot),1994,Drama
233,Before Sunrise,1995,Drama Romance
788,Billy Madison,1995,Comedy
1326,"Babysitter, The",1995,Drama Thriller
1749,Boys on the Side,1995,Comedy Drama
3381,"Cure, The",1995,Drama
3291,Castle Freak,1995,Horror
1025,Circle of Friends,1995,Drama Romance
516,Clerks,1994,Comedy
253,Don Juan DeMarco,1995,Comedy Drama Romance
2097,Disclosure,1994,Drama Thriller
2543,Drop Zone,1994,Action
3065,Destiny Turns on the Radio,1995,Comedy
255,Death and the Maiden,1994,Drama Thriller
460,Dolores Claiborne,1994,Drama Thriller
794,Dumb & Dumber,1994,Comedy
1034,Eat Drink Man Woman,1994,Comedy Drama
1655,Exotica,1994,Drama
1338,Exit to Eden,1994,Comedy
142,Ed Wood,1994,Comedy Drama
1339,French Kiss,1995,Comedy Romance
1340,Forget Paris,1995,Comedy Romance
2194,Far From Home: The Adventures of Yellow Dog,1995,Adventure Children's
1841,"Goofy Movie, A",1995,Animation Children's Comedy Romance
2169,Hideaway,1995,Thriller
2394,Fluke,1995,Children's Drama
1943,Farinelli: il castrato,1994,Drama Musical
3034,Gordy,1995,Comedy
3245,Gumby: The Movie,1995,Animation Children's
3337,"Glass Shield, The",1994,Crime Drama
796,Hoop Dreams,1994,Documentary
959,Heavenly Creatures,1994,Drama Fantasy Romance Thriller
608,Houseguest,1994,Comedy
797,Immortal Beloved,1994,Drama Romance
2916,Heavyweights,1994,Children's Comedy
2370,"Hunted, The",1995,Action
1346,I.Q.,1994,Comedy Romance
483,Interview with the Vampire,1994,Drama Horror
2104,Jefferson in Paris,1995,Drama
2678,"Jerky Boys, The",1994,Comedy
1190,Junior,1994,Comedy Sci-Fi
887,Just Cause,1995,Mystery Thriller
1696,"Kid in King Arthur's Court, A",1995,Adventure Children's Comedy Fantasy Romance
1951,Kiss of Death,1995,Crime Drama Thriller
45,Star Wars: Episode IV - A New Hope,1977,Action Adventure Fantasy Sci-Fi
1060,Little Women,1994,Drama
1061,"Little Princess, A",1995,Children's Drama
