item_id:token,name:token_seq,popularity_label,interaction_count
582,Coldplay,1,13875
424,Daft Punk,1,12338
1281,Rihanna,1,10697
429,Radiohead,1,10109
1367,Katy Perry,1,9422
1923,Lana Del Rey,1,9359
1073,Red Hot Chili Peppers,1,9338
790,David Guetta,1,9194
1688,Linkin Park,1,9126
2820,Eminem,1,9068
830,Adele,1,9067
815,Nirvana,1,8875
1486,Muse,1,8857
679,Arctic Monkeys,1,8770
1133,Pink Floyd,1,8667
1335,Queen,1,8588
816,The Beatles,1,8547
1251,Metallica,1,8395
125,Maroon 5,1,8205
2800,Kanye West,1,8047
999,The Rolling Stones,1,7994
593,Florence + the Machine,1,7741
181,Avicii,1,7716
289,David Bowie,1,7694
652,Calvin Harris,1,7491
66,The Black Keys,1,7406
276,Foo Fighters,1,7363
1299,Lady Gaga,1,7197
614,Led Zeppelin,1,7025
1322,System of a Down,1,6884
1802,[unknown],1,6796
4637,BeyoncÃÂ©,1,6773
651,Imagine Dragons,1,6693
861,Mumford & Sons,1,6675
520,The xx,1,6669
594,The Killers,1,6642
1966,Skrillex,1,6476
1523,Ellie Goulding,1,6459
789,Michael Jackson,1,6409
1386,Bruno Mars,1,6374
408,Gorillaz,1,6286
995,Green Day,1,6285
843,Bob Dylan,1,6238
204,Gotye,1,6225
616,Kings of Leon,1,6219
2819,Pitbull,1,6056
369,The Doors,1,6041
2216,Johnny Cash,1,6021
678,The Cure,1,5997
1706,Foster the People,1,5944
60,Arcade Fire,1,5932
1909,Black Sabbath,1,5900
681,Guns N' Roses,1,5886
6112,Drake,1,5872
1714,Depeche Mode,1,5838
640,Flo Rida,1,5664
1062,U2,1,5662
608,Jay-Z,1,5623
876,Iron Maiden,1,5518
4551,fun.,1,5472
1778,AC/DC,1,5413
829,The Strokes,1,5410
1354,Ed Sheeran,1,5361
1291,Bon Iver,1,5322
800,Pearl Jam,1,5306
1521,OneRepublic,1,5262
3190,The Offspring,1,5193
833,Oasis,1,5174
396,Massive Attack,1,5163
1639,Korn,1,5120
335,M83,1,5099
3102,Justin Timberlake,1,5093
621,Madonna,1,5061
1014,Taylor Swift,1,5018
1800,The Smiths,1,4949
3187,Queens of the Stone Age,1,4935
5951,Nicki Minaj,1,4905
427,Of Monsters and Men,1,4794
1944,The White Stripes,1,4779
1550,MGMT,1,4766
1287,P!nk,1,4765
1016,Aerosmith,1,4724
1937,deadmau5,1,4673
1297,blink-182,1,4660
2384,Britney Spears,1,4660
1851,Rammstein,1,4640
1659,Slipknot,1,4566
3431,Chris Brown,1,4497
1698,The Prodigy,1,4442
2073,Paramore,1,4409
857,Marilyn Manson,1,4405
583,Moby,1,4370
319,Beck,1,4369
1067,John Mayer,1,4368
4272,Nickelback,1,4360
1303,Lorde,1,4330
1561,Nine Inch Nails,1,4313
1593,Vampire Weekend,1,4305
4205,Two Door Cinema Club,1,4248
673,Rage Against the Machine,1,4218
6739,Elvis Presley,1,4209
3961,Evanescence,1,4195
2678,Jimi Hendrix,1,4186
1341,Placebo,1,4185
1362,Amy Winehouse,1,4176
1043,R.E.M.,1,4172
605,The National,1,4170
2552,Usher,1,4157
904,Bruce Springsteen,1,4141
1002,Creedence Clearwater Revival,1,4135
1971,The Smashing Pumpkins,1,4134
3432,Black Eyed Peas,1,4113
1710,Shakira,1,4112
4073,Jason Mraz,1,4110
638,Carly Rae Jepsen,1,4101
6211,One Direction,1,4070
741,Fleetwood Mac,1,4049
1717,Franz Ferdinand,1,4035
772,The Who,1,4023
1693,Rise Against,1,4010
1678,Disturbed,1,4001
117,Pixies,1,4001
1382,Train,1,3976
